"user_id","donated","condition","clickthrough","recruited","raised","donatedsince","n","propdevice","numdevice","device","firstvisit","houroffirst"
14,50,0,0,0,0,1,1,1,1,"Desktop",21,"19"
208,423,0,1,0,0,0,9,0.111111111111111,2,"",15,"18"
717,50,0,0,0,0,1,1,1,1,"Desktop",14,"17"
784,32,1,0,0,0,1,3,0,2,"Tablet",9,"22"
879,50,1,0,0,0,0,2,1,1,"Desktop",5,"10"
1296,99,0,0,0,0,0,1,0,1,"Mobile",26,"12"
1561,145,0,0,0,0,1,8,1,1,"Desktop",13,"21"
1618,270,0,0,0,0,1,6,1,1,"Desktop",11,"16"
1702,250,0,0,0,0,0,1,0,1,"Tablet",18,"17"
1709,400,1,0,0,0,0,1,1,1,"Desktop",6,"10"
1845,10,0,0,0,0,0,1,0,1,"Mobile",10,"19"
2236,10,1,0,0,0,0,1,0,1,"Mobile",6,"16"
3249,530,0,0,0,0,1,32,0.982142857142857,2,"Desktop",5,"15"
3963,10,0,0,0,0,1,1,0,1,"Mobile",10,"13"
4059,125,0,1,0,0,0,2,0.5,2,"",12,"2"
4129,50,1,0,0,0,0,1,1,1,"Desktop",22,"14"
4313,50,0,0,0,0,1,1,1,1,"Desktop",15,"16"
4512,50,0,0,0,0,0,1,1,1,"Desktop",5,"15"
5192,76.58,0,0,0,0,1,2,1,1,"Desktop",9,"14"
5570,3762.49,1,0,0,0,1,12,0.789473684210526,3,"Desktop",8,"13"
5670,346.46,1,0,0,0,1,1,1,1,"Desktop",3,"11"
5679,300,1,0,0,0,0,1,0,1,"Mobile",22,"9"
5788,2885.09,0,0,0,0,1,12,1,1,"Desktop",20,"16"
6037,284.79,0,0,0,0,1,2,1,1,"Desktop",20,"16"
6065,10,0,1,0,0,1,1,0,1,"Tablet",20,"21"
6080,57.62,1,0,0,0,0,2,0,1,"Tablet",14,"20"
6279,46.96,0,0,0,0,1,1,1,1,"Desktop",22,"18"
6925,173.26,0,1,4,286.8,1,7,1,1,"Desktop",4,"15"
7650,153.4,1,0,0,0,1,5,1,1,"Desktop",5,"12"
7842,24.31,1,0,0,0,1,2,0,1,"Tablet",14,"6"
7982,15,0,0,0,0,1,1,1,1,"Desktop",23,"17"
8119,456.52,1,0,0,0,0,2,1,1,"Desktop",20,"13"
8158,50,0,0,0,0,1,1,1,1,"Desktop",20,"21"
8191,50,1,0,0,0,1,1,0,1,"Mobile",22,"18"
8218,111.48,0,0,0,0,1,2,1,1,"Desktop",9,"9"
8568,44.71,0,0,0,0,1,1,1,1,"Desktop",22,"13"
8653,367.5,0,0,0,0,1,2,0,1,"Mobile",16,"17"
8950,35.17,1,0,0,0,1,2,1,1,"Desktop",5,"19"
9181,100,0,0,0,0,0,1,1,1,"Desktop",17,"11"
9500,154.67,0,0,0,0,1,4,1,1,"Desktop",26,"6"
9896,136.36,1,0,0,0,1,4,0,2,"",5,"2"
9963,25,0,0,0,0,0,1,0,1,"Mobile",12,"22"
10429,25,1,0,0,0,0,1,0,1,"Mobile",27,"16"
10788,20,1,0,0,0,1,2,0,1,"Mobile",18,"3"
11087,527.49,1,0,0,0,0,2,1,1,"Desktop",14,"16"
11105,400,0,0,0,0,1,4,1,1,"Desktop",3,"19"
11276,100,1,0,0,0,0,1,1,1,"Desktop",16,"12"
11792,25,0,0,0,0,0,1,1,1,"Desktop",26,"12"
11879,446,1,0,0,0,1,6,0.5,2,"Mobile",11,"12"
12025,85.35,1,0,0,0,0,2,1,1,"Desktop",23,"14"
12080,25,0,0,0,0,1,1,0,1,"Tablet",4,"11"
12164,10,1,0,0,0,1,1,0,1,"Tablet",17,"13"
12334,144.97,0,0,0,0,0,5,1,1,"Desktop",23,"17"
12391,100,1,0,0,0,1,1,1,1,"Desktop",6,"19"
12657,25,1,0,0,0,1,1,0,1,"Mobile",25,"10"
13204,25,0,0,0,0,1,1,1,1,"Desktop",17,"8"
13305,10,0,0,0,0,1,1,1,1,"Desktop",2,"16"
13382,100,1,0,0,0,1,1,1,1,"Desktop",15,"2"
13405,22.2,1,0,0,0,1,2,0,1,"Mobile",8,"13"
13452,500,1,0,0,0,0,1,1,1,"Desktop",14,"14"
13498,796.65,0,0,0,0,1,6,1,1,"Desktop",23,"11"
13634,159.6,1,1,0,0,1,1,1,1,"Desktop",5,"18"
13981,253,0,1,0,0,1,8,0,2,"",4,"19"
14151,118.84,1,0,0,0,1,2,0,1,"Mobile",5,"14"
14921,159,0,0,0,0,0,3,0,2,"Mobile",9,"19"
15291,100,0,1,0,0,1,3,1,1,"Desktop",6,"8"
15552,39.89,0,1,0,0,1,3,0,1,"Mobile",12,"17"
15613,200.21,0,0,0,0,0,2,1,1,"Desktop",23,"12"
15687,144.17,1,0,0,0,1,2,0.666666666666667,2,"",5,"2"
16031,792.83,0,0,0,0,1,4,0,1,"Tablet",13,"11"
16142,40,0,0,0,0,1,1,1,1,"Desktop",21,"21"
16323,641.3,1,0,0,0,1,3,1,1,"Desktop",15,"21"
16810,260.95,1,0,0,0,0,3,0,1,"Mobile",16,"21"
17138,17234.33,1,0,0,0,1,71,1,1,"Desktop",9,"12"
17295,25,1,1,1,393,0,1,0,1,"Mobile",8,"23"
17704,8,1,0,0,0,1,6,1,1,"Desktop",15,"15"
18026,5,0,0,0,0,1,1,1,1,"Desktop",5,"6"
18401,185,1,0,0,0,0,6,0.166666666666667,2,"Desktop",12,"23"
18457,275,1,0,0,0,1,7,0,2,"",19,"15"
18615,25,0,0,0,0,0,1,0,1,"Mobile",7,"15"
18664,50,1,0,0,0,0,1,0,1,"Mobile",18,"12"
19046,50,1,0,0,0,1,1,1,1,"Desktop",18,"18"
19095,265,0,1,1,25,1,7,1,1,"Desktop",4,"22"
19478,100,1,0,0,0,1,1,1,1,"Desktop",22,"16"
19486,52.74,1,1,0,0,1,2,0,1,"Mobile",23,"21"
19490,36.37,1,0,0,0,0,2,1,1,"Desktop",23,"11"
19943,100,0,0,0,0,0,1,1,1,"Desktop",21,"22"
19994,130.05,0,0,0,0,1,9,1,1,"Desktop",5,"23"
20237,25,0,1,0,0,0,1,0,1,"Mobile",21,"23"
20441,200,1,0,0,0,0,2,0.5,2,"Desktop",15,"17"
21040,395,1,1,1,20,0,10,0.272727272727273,2,"Desktop",7,"13"
21105,509.61,1,0,0,0,0,1,1,1,"Desktop",16,"9"
21163,181,1,0,0,0,1,3,0,1,"Mobile",23,"21"
21340,227.92,1,0,0,0,1,3,0,1,"Mobile",4,"19"
21560,25,1,0,0,0,0,1,0,1,"Mobile",9,"13"
21578,35,1,0,0,0,1,2,1,1,"Desktop",3,"22"
21740,50,0,0,0,0,1,2,1,1,"Desktop",12,"18"
21840,119.92,1,0,0,0,1,1,0,1,"Tablet",27,"13"
22572,25,1,0,0,0,0,1,0,1,"Mobile",2,"7"
22771,170,1,0,0,0,0,3,1,1,"Desktop",17,"16"
23221,400.27,0,0,0,0,1,6,0,1,"Mobile",8,"15"
23255,9.58,0,0,0,0,0,2,0,2,"Mobile",8,"20"
23341,150,0,1,0,0,0,1,1,1,"Desktop",3,"11"
23648,210,1,0,0,0,1,1,1,1,"Desktop",12,"11"
23732,50,0,0,0,0,0,1,1,1,"Desktop",5,"11"
23791,30,0,0,0,0,1,1,0,1,"Mobile",6,"19"
23875,25946.05,1,0,0,0,1,150,1,1,"Desktop",1,"13"
24057,15,1,0,0,0,1,1,0,1,"Mobile",23,"20"
24342,10,0,0,0,0,1,1,0,1,"Tablet",24,"1"
24361,956.24,0,0,0,0,1,2,1,1,"Desktop",9,"15"
24583,93.66,0,0,0,0,0,1,1,1,"Desktop",23,"10"
24735,50,1,0,0,0,0,1,0,1,"Mobile",19,"22"
24935,25,1,1,0,0,0,1,0,1,"Mobile",21,"23"
24978,337,0,0,0,0,1,23,0.5,2,"Desktop",7,"21"
25048,25,1,0,0,0,1,1,0,1,"Mobile",20,"17"
25476,35,1,0,0,0,0,2,0.5,2,"",19,"7"
25569,3,1,0,0,0,1,3,0,1,"Mobile",1,"21"
25620,40,1,0,0,0,0,2,0.5,2,"Desktop",16,"8"
26382,658.32,0,0,0,0,1,4,0.75,2,"Desktop",23,"9"
26612,20,0,0,0,0,1,1,1,1,"Desktop",3,"16"
27226,100,1,0,0,0,1,2,1,1,"Desktop",5,"17"
27371,45,0,0,0,0,0,2,1,1,"Desktop",6,"11"
27492,183.7,0,0,0,0,0,1,1,1,"Desktop",27,"23"
27538,396.46,0,0,0,0,0,2,0.5,2,"Desktop",8,"10"
27804,607.88,1,0,0,0,1,6,0.857142857142857,2,"Desktop",4,"17"
27844,185.95,0,0,0,0,0,6,0,2,"",12,"13"
27981,425.92,0,0,0,0,1,1,1,1,"Desktop",22,"13"
27989,50,1,1,0,0,1,1,1,1,"Desktop",5,"13"
28249,25,0,0,0,0,1,1,1,1,"Desktop",20,"21"
29650,25,1,0,0,0,1,1,0,1,"Mobile",13,"18"
29907,170.12,1,0,0,0,0,1,1,1,"Desktop",9,"20"
30135,651.04,1,0,0,0,1,3,1,1,"Desktop",7,"16"
30339,20,0,0,0,0,1,1,1,1,"Desktop",21,"16"
30671,25,0,0,0,0,1,1,0,1,"Mobile",26,"21"
31783,692.77,0,0,0,0,1,17,1,1,"Desktop",16,"16"
31933,200,0,0,0,0,1,1,1,1,"Desktop",20,"17"
31971,43.19,0,0,0,0,1,2,0,1,"Tablet",13,"17"
32076,531.81,0,0,0,0,1,1,1,1,"Desktop",7,"12"
33278,125,1,0,0,0,1,2,1,1,"Desktop",8,"12"
33379,25,1,0,0,0,0,1,0,1,"Mobile",23,"7"
33581,50,0,0,0,0,1,2,0.666666666666667,2,"Mobile",20,"13"
33602,35,1,0,0,0,1,2,1,1,"Desktop",5,"13"
33939,100,0,0,0,0,0,1,0,1,"Mobile",6,"14"
33966,60,0,0,0,0,1,2,1,1,"Desktop",5,"13"
34067,43,0,0,0,0,0,2,0,1,"Mobile",5,"15"
34070,53.75,0,0,0,0,1,2,0,1,"Mobile",18,"14"
